index,Pr,In,Cp,Cl,Cn,Br,Expected Profit / customer,Market Shares,Cost
1,30,0.5,12,D,Sl,C,0.4463209211496644,0.016530404487024607,3.0
2,30,0.5,12,D,Sp,C,0.6737606108333684,0.025234479806493196,3.3
3,30,0.5,12,D,Lk,C,1.117415726920656,0.04216663120455305,3.5
4,30,0.5,12,F,Sl,C,0.8658581569713478,0.033560393681059994,4.2
5,30,0.5,12,F,Sp,C,1.307513104248169,0.05127502369600662,4.5
6,30,0.5,12,F,Lk,C,2.1528478164871383,0.08509279907063787,4.7
7,30,0.5,12,E,Sl,C,1.4115286072252133,0.05646114428900854,5.0
8,30,0.5,12,E,Sp,C,2.051551100643005,0.08305874901388684,5.3
9,30,0.5,12,E,Lk,C,3.155587550121536,0.12879949184169534,5.5
10,30,0.5,20,D,Sl,C,0.3770152347694401,0.014843119479111816,4.6
11,30,0.5,20,D,Sp,C,0.6196107961999239,0.024685689091630433,4.8999999999999995
12,30,0.5,20,D,Lk,C,1.148461440436202,0.04612294941510851,5.1
13,30,0.5,20,F,Sl,C,0.8362134753793059,0.03455427584212008,5.800000000000001
14,30,0.5,20,F,Sp,C,1.3153583635696398,0.05503591479370878,6.1000000000000005
15,30,0.5,20,F,Lk,C,2.2738711000676757,0.09594392827289772,6.300000000000001
16,30,0.5,20,E,Sl,C,1.426094534069549,0.060944210857673035,6.6
17,30,0.5,20,E,Sp,C,2.108892337524626,0.09129404058548164,6.8999999999999995
18,30,0.5,20,E,Lk,C,3.344376851345586,0.1460426572639994,7.1
19,30,0.5,32,D,Sl,C,0.3488918785905867,0.013844915817086773,4.8
20,30,0.5,32,D,Sp,C,0.5605815823192877,0.022513316559007537,5.1
21,30,0.5,32,D,Lk,C,1.0890158639573018,0.044089711091388734,5.3
22,30,0.5,32,F,Sl,C,0.7489656428486349,0.031206901785359786,6.0
23,30,0.5,32,F,Sp,C,1.1372683586571444,0.04798600669439428,6.3
24,30,0.5,32,F,Lk,C,2.0279446495150295,0.08629551700063956,6.5
25,30,0.5,32,E,Sl,C,1.2776826162530526,0.05507252656263158,6.8
26,30,0.5,32,E,Sp,C,1.8428537457368634,0.0804739626959329,7.1
27,30,0.5,32,E,Lk,C,2.976918866072176,0.13114180026749675,7.3
28,30,1,12,D,Sl,C,0.6298411745287261,0.02376759149165004,3.5
29,30,1,12,D,Sp,C,0.9398473538342185,0.0358720364058862,3.8
30,30,1,12,D,Lk,C,1.53732115380496,0.059127736684806156,4.0
31,30,1,12,F,Sl,C,1.2078126311958433,0.04773962969153531,4.7
32,30,1,12,F,Sp,C,1.7973556212434108,0.07189422484973643,5.0
33,30,1,12,F,Lk,C,2.8823180611399857,0.116222502465322,5.2
34,30,1,12,E,Sl,C,1.9001234368398292,0.07755605864652364,5.5
35,30,1,12,E,Sp,C,2.728859945849211,0.11276280767971945,5.8
36,30,1,12,E,Lk,C,4.118382744408826,0.1715992810170344,6.0
37,30,1,20,D,Sl,C,0.5497256943904362,0.022077337124113902,5.1
38,30,1,20,D,Sp,C,0.8826142553016273,0.03587862826429379,5.3999999999999995
39,30,1,20,D,Lk,C,1.5946132273306606,0.06535300112010904,5.6
40,30,1,20,F,Sl,C,1.1760330604992708,0.0496216481223321,6.300000000000001
41,30,1,20,F,Sp,C,1.8129804525805064,0.07747779711882506,6.6000000000000005
42,30,1,20,F,Lk,C,3.048371770661548,0.1313953349423081,6.800000000000001
43,30,1,20,E,Sl,C,1.9155146904143863,0.08364692971241862,7.1
44,30,1,20,E,Sp,C,2.795625769556435,0.12370025529010772,7.3999999999999995
45,30,1,20,E,Lk,C,4.357384811895731,0.19452610767391657,7.6
46,30,1,32,D,Sl,C,0.4914405399105283,0.019896378134029485,5.3
47,30,1,32,D,Sp,C,0.7766968690901921,0.031831838897139024,5.6
48,30,1,32,D,Lk,C,1.4579061030644178,0.0602440538456371,5.8
49,30,1,32,F,Sl,C,1.02676455250131,0.04369210861707702,6.5
50,30,1,32,F,Sp,C,1.5405306355481256,0.06640218256672956,6.8
51,30,1,32,F,Lk,C,2.660335591061817,0.11566676482877465,7.0
52,30,1,32,E,Sl,C,1.6886784706150562,0.0743911220535267,7.3
53,30,1,32,E,Sp,C,2.4144649540169936,0.1077886140186158,7.6
54,30,1,32,E,Lk,C,3.8163195702954766,0.1719062869502467,7.8
55,30,3,12,D,Sl,C,0.8154486392587375,0.03328361792892806,5.5
56,30,3,12,D,Sp,C,1.211326875363187,0.05005482956046227,5.8
57,30,3,12,D,Lk,C,1.9638641676374848,0.08182767365156186,6.0
58,30,3,12,F,Sl,C,1.5719571147777902,0.06746597059132146,6.7
59,30,3,12,F,Sp,C,2.307159277311778,0.10031127292659904,7.0
60,30,3,12,F,Lk,C,3.6304038525200806,0.15922823914561757,7.2
61,30,3,12,E,Sl,C,2.3744352946630647,0.10553045754058066,7.5
62,30,3,12,E,Sp,C,3.3574840207734447,0.15123801895375877,7.8
63,30,3,12,E,Lk,C,4.976757029276083,0.22621622860345833,8.0
64,30,3,20,D,Sl,C,0.7440119209568751,0.03248960353523472,7.1
65,30,3,20,D,Sp,C,1.1759236699090705,0.052032020792436746,7.3999999999999995
66,30,3,20,D,Lk,C,2.071401033945806,0.0924732604440092,7.6
67,30,3,20,F,Sl,C,1.570733874091851,0.07238404949732033,8.3
68,30,3,20,F,Sp,C,2.3715313078456584,0.11081921999278778,8.6
